Name,Artifact Type,Category,Description,Tags,Classifications,Stewards,Related Terms,Part Of Terms,Type Of Terms,Abbreviations,Data Classes,Synonyms,Secondary Categories
State Name,glossary_term,Customer Vocabulary >> Customer 360,"Identifies the label assigned to or by which a state may be identified, for example: Florida, Texas, Kentucky.",,,,,Customer Vocabulary >> Customer 360 >> State,,,US State Name,,
,,,,,,,,,,,Canada Province Name,,
,,,,,,,,,,,State/Province Name,,
Customer Retirement Age,glossary_term,Customer Vocabulary >> Customer 360,The age at which the person is retiring and ceases to work in permanent employment.,,,,,Customer Vocabulary >> Customer 360 >> Customer,,,,,
Customer Name,glossary_term,Customer Vocabulary >> Customer 360,"The name by which a customer is known and which is usually used to identify that customer. For example: International Business Machines Corporation (IBM), Joe Bloggs.",,Personally Identifiable Information,,,Customer Vocabulary >> Customer 360 >> Customer,,,Organization Name,,
,,,,,,,,,,,Person Name,,
Marital Status,glossary_term,Customer Vocabulary >> Customer 360,Current legal situation of the individual regarding marriage.,,,,,Customer Vocabulary >> Customer 360 >> Customer,,,Legal Marital/Civil Status.,,
Customer Market Segment,glossary_term,Customer Vocabulary >> Customer 360,The customer classification that is used to segment customers to produce and track the sales forecast.,,,,,Customer Vocabulary >> Customer 360 >> Customer Profile,,,,,
,,,,,,,,Customer Vocabulary >> Customer 360 >> Customer,,,,,
Household Disposable Income,glossary_term,Customer Vocabulary >> Customer 360,"The amount of money that a household can spend after having paid all fixed expenses such as rent, mortgage repayments and so on.",,,,,Customer Vocabulary >> Customer 360 >> Household,,,,,
Customer Agreement Sign Date,glossary_term,Customer Vocabulary >> Customer 360,"The date when the customer agreement was consummated among associated persons, organizations or both.",,,,,Customer Vocabulary >> Customer Behavior >> Customer Agreement,,,,,
Customer Annual Income,glossary_term,Customer Vocabulary >> Customer 360,"The amount of money an individual earns in a single year. Usually includes person's salary and bonuses as well as any other non-employment related income such as dividends from holdings in stocks and shares, trusts.",,,,,Customer Vocabulary >> Customer 360 >> Customer,,,,,
Net Change In Customer Agreements,glossary_term,Customer Vocabulary >> Customer 360,The net number of agreements at the end of the given period of time expressed as: the number of agreements created minus the number of agreements closed during that period of time.,,,,,,,,,,
Primary Account Holder,glossary_term,Customer Vocabulary >> Customer 360,The primary account holder associated with the customer account.,,,,Customer Vocabulary >> Customer 360 >> Customer,Customer Vocabulary >> Customer 360 >> Customer Account,,,,,
Customer Agreement Channel,glossary_term,Customer Vocabulary >> Customer 360,"The channel through which the agreement has been made, for example: phone, web, email, letter.",,,,,Customer Vocabulary >> Customer Behavior >> Customer Agreement,,,,,
Social Media Account Platform,glossary_term,Customer Vocabulary >> Customer 360,The social network platform on which the account exists.,,,,,Customer Vocabulary >> Customer 360 >> Social Media Account,,,,,
Fraud Reporting Source,glossary_term,Customer Vocabulary >> Customer 360,Identifies the party of the transaction that raised a suspicion of fraud.,,,,,,,,,,
Mailing Address,glossary_term,Customer Vocabulary >> Customer 360,The postal address selected by customer for receiving of mail communication.,,Personally Identifiable Information,,Customer Vocabulary >> Customer 360 >> Postal Address,Customer Vocabulary >> Customer 360 >> Customer,,,,,
Household Home Ownership,glossary_term,Customer Vocabulary >> Customer 360,Indicates whether a member of the household is also the property owner.,,,,,Customer Vocabulary >> Customer 360 >> Household,,,,,
Customer Level Of Authority,glossary_term,Customer Vocabulary >> Customer 360,"An indicator of the customer's level of authority in their peer group, which provides insight into the impacts of the customer's behavior on the behavior of other people.",,,,,Customer Vocabulary >> Customer 360 >> Customer,,,,,
Education Level,glossary_term,Customer Vocabulary >> Customer 360,The highest level of education of the person.,,,,,Customer Vocabulary >> Customer 360 >> Customer,,,,,
Email Address,glossary_term,Customer Vocabulary >> Customer 360,"An electronic address that can be used to send and receive correspondence over a computer network, for example: jsmith@jonesinc.com.",,Personally Identifiable Information,,,Customer Vocabulary >> Customer 360 >> Customer Profile,,,Email Address,,
,,,,,,,,Customer Vocabulary >> Customer 360 >> Customer,,,,,
Transaction Reason Type,glossary_term,Customer Vocabulary >> Customer 360,"Identifies the reason for the transaction. For example, a bill payment, salary lodgment.",,,,,,,,,,
Communication Resolution Type,glossary_term,Customer Vocabulary >> Customer 360,"The overarching method by which a communication is resolved or ended, for example: completed by agent, completed by self-service, disconnect, abandon.",,,,,,,,,,
Country Code,glossary_term,Customer Vocabulary >> Customer 360,"A code which identifies a country, for example: the country code for Ireland is 'IE'.",,,,,Customer Vocabulary >> Customer 360 >> Country,,,Country Code,,
Authorization Code,glossary_term,Customer Vocabulary >> Customer 360,"Identifies a code which has been received to authorize a requested action. For example, a code issued by a bank to authorize a Credit Card Payment.",,,,,,,,,,
Postal Address Area Type,glossary_term,Customer Vocabulary >> Customer 360,"Classifies the area to which the postal address belongs according to the density, type and layout of buildings.",,,,,Customer Vocabulary >> Customer 360 >> Postal Address,,,,,
Street,glossary_term,Customer Vocabulary >> Customer 360,The name of the street of the address.,,,,,Customer Vocabulary >> Customer 360 >> Postal Address,,,US Street Name,,
Dormant Customers,glossary_term,Customer Vocabulary >> Customer 360,The number of customers without account transaction and communication during a given period of time. The dormant customers are the customers without any active contracts.,,,,,,,,,,
Customer Account,glossary_term,Customer Vocabulary >> Customer 360,Customer account includes information from the customer agreements to create billings or invoices for a customer and receive payment.,,,,Customer Vocabulary >> Customer Behavior >> Transaction,,,,,,
,,,,,,,Customer Vocabulary >> Customer 360 >> Customer,,,,,,
,,,,,,,Customer Vocabulary >> Customer Behavior >> Customer Agreement,,,,,,
First Name,glossary_term,Customer Vocabulary >> Customer 360,"A personal name typically used to refer to an individual in informal circumstances, for example: John, Mary.",,Personally Identifiable Information,,,Customer Vocabulary >> Customer 360 >> Customer,,,First Name,,
Occupation,glossary_term,Customer Vocabulary >> Customer 360,"Name of the person's work or business engagement, for example: farmer, professional, tradesperson, author, business owner, consultant, doctor, economist, homemaker.",,Personally Identifiable Information,,,Customer Vocabulary >> Customer 360 >> Customer,,,,,
Household Identifier,glossary_term,Customer Vocabulary >> Customer 360,A unique number that identifies the household.,,,,,Customer Vocabulary >> Customer 360 >> Household,,,Identifier,,
Customer Household,glossary_term,Customer Vocabulary >> Customer 360,The household of the customer if the customer is a person.,,,,Customer Vocabulary >> Customer 360 >> Household,Customer Vocabulary >> Customer 360 >> Customer Profile,,,,,
,,,,,,,,Customer Vocabulary >> Customer 360 >> Customer,,,,,
Household Income Source,glossary_term,Customer Vocabulary >> Customer 360,"The source of income that contributes to most of the income for the household, which is relevant for accounts where ability-to-pay information was collected.",,,,,Customer Vocabulary >> Customer 360 >> Household,,,,,
Communication Delivery Format,glossary_term,Customer Vocabulary >> Customer 360,"The format that is used for the delivery of a communication, for example: face-to-face, phone, social media, online chat.",,,,,,,,,,
Customer Pursuit,glossary_term,Customer Vocabulary >> Customer 360,Classification of customer based on primary living habits and interests of the person.,,,,,Customer Vocabulary >> Customer 360 >> Customer,,,,,
Customer,glossary_term,Customer Vocabulary >> Customer 360,A person or organization buying goods or services from the organization.,,Personally Identifiable Information,,Customer Vocabulary >> Customer Behavior >> Transaction,,,,,,
,,,,,,,Customer Vocabulary >> Customer Behavior >> Credit Card Account,,,,,,
,,,,,,,Customer Vocabulary >> Customer 360 >> Event Customer,,,,,,
,,,,,,,Customer Vocabulary >> Customer 360 >> Customer Account,,,,,,
,,,,,,,Customer Vocabulary >> Customer Behavior >> Customer Agreement,,,,,,
,,,,,,,Customer Vocabulary >> Customer Behavior >> Customer Communication,,,,,,
,,,,,,,Customer Vocabulary >> Customer Behavior >> Customer Event,,,,,,
,,,,,,,Customer Vocabulary >> Customer 360 >> Primary Account Holder,,,,,,
Transaction Time,glossary_term,Customer Vocabulary >> Customer 360,The time on which the transaction actually occurred.,,,,,,,,,,
Oldest Household Adult Birth Year,glossary_term,Customer Vocabulary >> Customer 360,The year on which the oldest adult member of household was born.,,,,,Customer Vocabulary >> Customer 360 >> Household,,,,,
Customer Loyalty Score,glossary_term,Customer Vocabulary >> Customer 360,"Identifies rating of the tendency of the customer to remain loyal to a company, indicating the likelihood that the customer may purchase from another company.",,,,,Customer Vocabulary >> Customer 360 >> Customer,,,,,
Customer Lifetime Value,glossary_term,Customer Vocabulary >> Customer 360,The total projected earnings of a customer to the organization over its probable lifetime.,,,,,Customer Vocabulary >> Customer 360 >> Customer,,,,,
Youngest Household Adult Birth Year,glossary_term,Customer Vocabulary >> Customer 360,The year on which the youngest child member of household was born.,,,,,Customer Vocabulary >> Customer 360 >> Household,,,,,
Communication On Hold Time,glossary_term,Customer Vocabulary >> Customer 360,The amount of time spent in a suspended or on-hold mode during a communication.,,,,,,,,,,
Family Size,glossary_term,Customer Vocabulary >> Customer 360,The Amount of people in a family/household.,,,,,Customer Vocabulary >> Customer 360 >> Household,,,Quantity,Customer Vocabulary >> Customer 360 >> Household Size,
Household Number Of Cars,glossary_term,Customer Vocabulary >> Customer 360,The number of cars that are used by the household.,,,,,Customer Vocabulary >> Customer 360 >> Household,,,,,
Customer Agreement Payment Cycle,glossary_term,Customer Vocabulary >> Customer 360,"The payment frequency that the customer is contractually expected to observe, for example: ad-hoc, on specified date, weekly, monthly.",,,,,Customer Vocabulary >> Customer Behavior >> Customer Agreement,,,,,
Ethnicity,glossary_term,Customer Vocabulary >> Customer 360,"A classification of an individual based on their membership in a group that is united and defined to a greater or lesser degree by common history, beliefs, culture, nationality, etc.",,Sensitive Personal Information,,,Customer Vocabulary >> Customer 360 >> Customer,,,Ethnicity,,
Telephone Number,glossary_term,Customer Vocabulary >> Customer 360,The general-purpose telephone information that is needed to contact a wired or wireless telephone device.,,Personally Identifiable Information,,,Customer Vocabulary >> Customer 360 >> Customer,,,US Phone Number,,
Home Address,glossary_term,Customer Vocabulary >> Customer 360,The address of a person's home.,,Personally Identifiable Information,,Customer Vocabulary >> Customer 360 >> Postal Address,Customer Vocabulary >> Customer 360 >> Customer Profile,,,Address Line 2,,
,,,,,,,,Customer Vocabulary >> Customer 360 >> Customer,,,Address  Line 3,,
,,,,,,,,,,,Address Line 1,,
Head Of Household Indicator,glossary_term,Customer Vocabulary >> Customer 360,Indicates whether the customer has certain legal and financial obligations to other members of the household.,,Personally Identifiable Information,,,Customer Vocabulary >> Customer 360 >> Customer,,,,,
Postal Code,glossary_term,Customer Vocabulary >> Customer 360,A code that is included in a postal address to assist the sorting of mail.,,,,,Customer Vocabulary >> Customer 360 >> Postal Address,,ZIP,Canada Post Code,Customer Vocabulary >> Customer Behavior >> Zipcode,
,,,,,,,,,,,US Zip Code,,
,,,,,,,,,,,UK Post Code,,
,,,,,,,,,,,Ireland Eircode,,
Family Household Indicator,glossary_term,Customer Vocabulary >> Customer 360,"Indicates whether the household includes a couple, as well as at least one child of the couple.",,,,,Customer Vocabulary >> Customer 360 >> Household,,,,,
Household,glossary_term,Customer Vocabulary >> Customer 360,"A group of individuals, who can be resident at the same address and members of the same family, that share a common economic interest and are treated as a unit for certain purposes.",,Personally Identifiable Information,,Customer Vocabulary >> Customer 360 >> Customer Household,Customer Vocabulary >> Customer 360 >> Customer Profile,,,,,
City Name,glossary_term,Customer Vocabulary >> Customer 360,"Identifies the label assigned to or by which a city may be identified, for example: Chicago, Dublin, Sydney.",,,,,Customer Vocabulary >> Customer 360 >> City,,,City,,
Customer Influenced Probability,glossary_term,Customer Vocabulary >> Customer 360,The probability that the customer can be influenced by the opinions of others.,,,,,Customer Vocabulary >> Customer 360 >> Customer,,,,,
Debt Service Coverage Ratio,glossary_term,Customer Vocabulary >> Customer 360,"The debt service coverage ratio (DSCR), is the ratio of cash available for debt servicing to interest, principal and lease payments.",,,,,Customer Vocabulary >> Customer 360 >> Customer,,,,,
Country,glossary_term,Customer Vocabulary >> Customer 360,A geographic area that defines the boundaries of a nation.,,,,Customer Vocabulary >> Customer 360 >> Postal Address,,,,Country Name,,
,,,,,,,Customer Vocabulary >> Customer 360 >> Postal Address Country,,,,,,
Transaction Status,glossary_term,Customer Vocabulary >> Customer 360,"The current state of the transaction. For example, settled, pending, rejected, completed, canceled.",,,,,,,,,,
Customer Net Gain,glossary_term,Customer Vocabulary >> Customer 360,"The net gain in customers of the organization expressed as: the number of customers gained minus the number of customers lost, in a given period.",,,,,,,,,,
Postal Address,glossary_term,Customer Vocabulary >> Customer 360,The address to which mail is delivered.,,,,Customer Vocabulary >> Customer 360 >> Mailing Address,Customer Vocabulary >> Customer 360 >> Customer Profile,,,Address Line 2,,
,,,,,,,Customer Vocabulary >> Customer 360 >> Home Address,,,,Address  Line 3,,
,,,,,,,Customer Vocabulary >> Customer Behavior >> Work Address,,,,Address Line 1,,
,,,,,,,Customer Vocabulary >> Customer 360 >> Country,,,,,,
,,,,,,,Customer Vocabulary >> Customer Behavior >> Customer Account Address,,,,,,
Monthly Housing Cost,glossary_term,Customer Vocabulary >> Customer 360,The cost of the residential accommodation that may be based on rental or mortgage payments.,,,,,Customer Vocabulary >> Customer 360 >> Customer,,,,,
Household Internet Use,glossary_term,Customer Vocabulary >> Customer 360,Indicates whether the Internet is used in the household.,,,,,Customer Vocabulary >> Customer 360 >> Household,,,,,
Household Purchasing Power,glossary_term,Customer Vocabulary >> Customer 360,"A rating of the relative spending power of the household, for example: affluent, low income, upper middle income.",,,,,Customer Vocabulary >> Customer 360 >> Household,,,,,
Household Poverty Level,glossary_term,Customer Vocabulary >> Customer 360,"The percentage of poverty that is based on the annual income and number of members of a household, which is calculated for accounts for which ability-to-pay information was collected.",,,,,Customer Vocabulary >> Customer 360 >> Household,,,,,
Gender,glossary_term,Customer Vocabulary >> Customer 360,"Indicates an individual's gender, for example: male, female.",,Personally Identifiable Information,,,Customer Vocabulary >> Customer 360 >> Customer,,,Gender,,
Postal Address City,glossary_term,Customer Vocabulary >> Customer 360,Identifies the city component of postal address.,,,,Customer Vocabulary >> Customer 360 >> City,Customer Vocabulary >> Customer 360 >> Postal Address,,,City,,
Customer Advisor,glossary_term,Customer Vocabulary >> Customer 360,The person that provides financial advisory services to the customer.,,Personally Identifiable Information,,,Customer Vocabulary >> Customer 360 >> Customer,,,,,
Customer Social Network Influence Score,glossary_term,Customer Vocabulary >> Customer 360,The score that expresses the influence that the customer has on others. The score suggests how strong the communication and behavior of the customer influences the behavior of other people.,,,,,Customer Vocabulary >> Customer 360 >> Customer,,,,,
Household Size,glossary_term,Customer Vocabulary >> Customer 360,The number of people who are members of the household.,,,,,Customer Vocabulary >> Customer 360 >> Household,,,,Customer Vocabulary >> Customer 360 >> Family Size,
Communication Subject,glossary_term,Customer Vocabulary >> Customer 360,A text reference that aids the identification and understanding of this communication content.,,,,,,,,,,
Customer Agreement Payment Method,glossary_term,Customer Vocabulary >> Customer 360,"The type of payment that is received from the customer, for example: check, card, cash, electronic funds transfer, direct debit.",,,,,Customer Vocabulary >> Customer Behavior >> Customer Agreement,,,,,
Customer Advisor Organization,glossary_term,Customer Vocabulary >> Customer 360,The organization that provides financial advisory services to the customer.,,,,,Customer Vocabulary >> Customer 360 >> Customer,,,,,
Customer Active Tenure,glossary_term,Customer Vocabulary >> Customer 360,The period of time during which the customer has an active agreement with the organization.,,,,,Customer Vocabulary >> Customer 360 >> Customer,,,,,
Dormant Customer Rate,glossary_term,Customer Vocabulary >> Customer 360,The dormant customers expressed as a percentage of the active customers at the end of the analyzed period.,,,,,,,,,,
Postal Address Country,glossary_term,Customer Vocabulary >> Customer 360,Identifies the country component of postal address.,,,,Customer Vocabulary >> Customer 360 >> Country,Customer Vocabulary >> Customer 360 >> Postal Address,,,Country Name,,
State Code,glossary_term,Customer Vocabulary >> Customer 360,"A code which identifies a state or province, for example: the state code for Florida is 'FL'.",,,,,Customer Vocabulary >> Customer 360 >> State,,,Canada Province Code,,
,,,,,,,,,,,US State Code,,
,,,,,,,,,,,UK Province Code,,
,,,,,,,,,,,ISO 3166-2 Code,,
Communication Processing Time,glossary_term,Customer Vocabulary >> Customer 360,The amount of time spent in processing the communication.,,,,,,,,,,
Household Tenancy Status,glossary_term,Customer Vocabulary >> Customer 360,"The tenancy status of the household main residence, for example: own, rent.",,,,,Customer Vocabulary >> Customer 360 >> Household,,,,,
Suspicious Activity Type,glossary_term,Customer Vocabulary >> Customer 360,Identifies an activity or series of activities which has alerted the organization to the possibility of an occurrence of illegal or suspicious activity.,,,,,,,,,,
State,glossary_term,Customer Vocabulary >> Customer 360,A geographic area that is a political subdivision of a country. This can be a state or Province.,,,,Customer Vocabulary >> Customer 360 >> Postal Address State,,,,,,
Oldest Household Child Birth Year,glossary_term,Customer Vocabulary >> Customer 360,The year on which the oldest child member of household was born.,,,,,Customer Vocabulary >> Customer 360 >> Household,,,,,
Customer Profession,glossary_term,Customer Vocabulary >> Customer 360,"The occupation or vocation that an individual engages in as part of their employment or means of livelihood. In a business context, understanding the customer's profession is valuable for companies to tailor their products, services, and marketing strategies to better meet the needs and preferences of their target audience.",,,,,Customer Vocabulary >> Customer 360 >> Customer,,Profession,Text,HR AO >> Employee Vocabulary AO >> Job Title,
,,,,,,,,Customer Vocabulary >> Customer Behavior >> Customer Identifier,,Job,,,
Social Security Number,glossary_term,Customer Vocabulary >> Customer 360,An identification number issued to citizens and permanent residents by a governmental agency for the purposes of qualifying for Social Security benefits.,,Personally Identifiable Information,,,Customer Vocabulary >> Customer 360 >> Customer,,,US Social Security Number Last 4,,
,,,,,,,,,,,UK National Insurance Number,,
,,,,,,,,,,,US Social Security Number,,
,,,,,,,,,,,Canadian Social Insurance Number (SIN),,
Customer Credit Authority Level,glossary_term,Customer Vocabulary >> Customer Behavior,"Scale of authority for credit of the customer on the market, for example: high, medium, low.",,,,Customer Vocabulary >> Customer Behavior >> Credit Utilization,Customer Vocabulary >> Customer 360 >> Customer Profile,,,,,
,,,,,,,,Customer Vocabulary >> Customer 360 >> Customer,,,,,
Customer Social Media Posts,glossary_term,Customer Vocabulary >> Customer Behavior,Number of all customer posts in social media addressed to the organization in the assessed period.,,,,,,,,,,
Customer Agreement,glossary_term,Customer Vocabulary >> Customer Behavior,An agreement between the customer and the organization to pay for goods or services. The agreement records billing information about the type of service and product that is provided.,,,,Customer Vocabulary >> Customer Behavior >> Credit Card Account,,,,,,
,,,,,,,Customer Vocabulary >> Customer 360 >> Customer,,,,,,
,,,,,,,Customer Vocabulary >> Customer 360 >> Customer Account,,,,,,
,,,,,,,Customer Vocabulary >> Customer Behavior >> Loan Account,,,,,,
Customer Active Accounts,glossary_term,Customer Vocabulary >> Customer Behavior,Identifies the number of active customer accounts.,,,,,,,,,,
Customer Account Product Type,glossary_term,Customer Vocabulary >> Customer Behavior,Classification of product or service that this account represents or is associated with this account.,,,,,Customer Vocabulary >> Customer 360 >> Customer Account,,,,,
Planning As Investment Objective Accounts,glossary_term,Customer Vocabulary >> Customer Behavior,Number of customer accounts that have 'planning' set as their investment objective.,,,,,,,,,,
Inbound Calls,glossary_term,Customer Vocabulary >> Customer Behavior,The number of calls to contact center initiated by the customer during the analyzed period. This includes both answered and abandoned calls.,,,,,,,,,,
Customer Transaction Fees Amount,glossary_term,Customer Vocabulary >> Customer Behavior,The sum of amounts of transaction related fees on customer accounts in assessed period.,,,,,,,,,,
Credit Card Account,glossary_term,Customer Vocabulary >> Customer Behavior,The credit card account includes information from the customer credit card agreements.,,,,Customer Vocabulary >> Customer 360 >> Customer,,,,Master Card,,
,,,,,,,Customer Vocabulary >> Customer Behavior >> Credit Utilization,,,,Japan Credit Bureau (JCB),,
,,,,,,,Customer Vocabulary >> Customer Behavior >> Customer Agreement,,,,,,
Customer Type,glossary_term,Customer Vocabulary >> Customer Behavior,"The type of the customer based on the classification of the organization that is in a contractual or other relationship with the customer, for example: residential, industrial, commercial, government.",,,,,Customer Vocabulary >> Customer 360 >> Customer,,,,,
Address Line 1 Description,glossary_term,Customer Vocabulary >> Customer Behavior,"First line of the address, which includes street and building number.",,,,,Customer Vocabulary >> Customer 360 >> Postal Address,,,Address Line 1,,
Communication,glossary_term,Customer Vocabulary >> Customer Behavior,"The receiving or sending of an information between two parties. A communication may be in any medium such as a telephone call, a letter, an email, a meeting, and so on.",,,,Customer Vocabulary >> Customer Behavior >> Product Offer,,,,,,
,,,,,,,Customer Vocabulary >> Customer Behavior >> Customer Communication,,,,,,
Customer Withdrawals,glossary_term,Customer Vocabulary >> Customer Behavior,Number of all withdrawal transactions executed by customers in assessed period.,,,,,,,,,,
Customer All Accounts Fees Amount,glossary_term,Customer Vocabulary >> Customer Behavior,The sum of amounts of all fees on customer accounts in assessed period.,,,,,,,,,,
Customer Interest Earned Amount,glossary_term,Customer Vocabulary >> Customer Behavior,The amount of all interests earned on customer accounts in assessed period.,,,,,,,,,,
Customer Non-Financial Assets,glossary_term,Customer Vocabulary >> Customer Behavior,Total value of all non-financial assets in possession of the customer.,,,,,Customer Vocabulary >> Customer 360 >> Customer Profile,,,,,
,,,,,,,,Customer Vocabulary >> Customer 360 >> Customer,,,,,
Moderate Risk Tolerance Accounts,glossary_term,Customer Vocabulary >> Customer Behavior,Number of customer accounts with moderate tolerance to market risk.,,,,,,,,,,
High Risk Tolerance Accounts,glossary_term,Customer Vocabulary >> Customer Behavior,Number of customer accounts with high tolerance to market risk.,,,,,,,,,,
Last Product Offer Date,glossary_term,Customer Vocabulary >> Customer Behavior,Date of the latest product offer made to a customer.,,,,,Customer Vocabulary >> Customer 360 >> Customer,,,,,
Customer Liabilities,glossary_term,Customer Vocabulary >> Customer Behavior,The amount of all customer's debts.,,,,,Customer Vocabulary >> Customer 360 >> Customer,,,,,
